,count,mean,std,min,25%,50%,75%,max
WPA+_home,48590.0,0.6573499073883553,0.3581604133036988,0.0,0.422,0.601,0.84,2.897
WPA-_home,48590.0,-0.6840408520271638,0.3336911594714745,-3.499,-0.87,-0.64,-0.444,-0.006
RE24_home,48590.0,-0.20268367976949794,3.183765499843381,-8.7,-2.6,-0.7,1.6,25.0
PO_home,48590.0,26.023420456884132,2.848790874924077,12.0,24.0,27.0,27.0,66.0
A_home,48590.0,9.677587981066063,3.158608454717697,0.0,7.0,9.0,12.0,34.0
AB_away,48590.0,33.41187487137271,4.170283497158271,16.0,31.0,33.0,35.0,74.0
R_away,48590.0,4.642766001234822,3.12792663097071,0.0,2.0,4.0,6.0,25.0
H_away,48590.0,8.818440008232146,3.3626998479796986,0.0,6.0,9.0,11.0,28.0
RBI_away,48590.0,4.421876929409343,3.0359110236582882,0.0,2.0,4.0,6.0,25.0
BB_away,48590.0,3.2810454826095903,2.086286407736439,0.0,2.0,3.0,5.0,18.0
SO_away,48590.0,6.8702202099197365,2.9079309224186676,0.0,5.0,7.0,9.0,26.0
PA_away,48590.0,37.619489606915,5.053904298458351,17.0,34.0,37.0,40.0,87.0
BA_away,48590.0,0.259360835562894,0.08078441510877282,0.0,0.206,0.258,0.314,0.609
OBP_away,48590.0,0.32717886396383344,0.08410432104770092,0.0,0.27,0.327,0.386,0.648
SLG_away,48590.0,0.41803414282774637,0.16005200424420474,0.0,0.303,0.406,0.517,1.205
OPS_away,48590.0,0.7452332167112592,0.22903032887177088,0.0,0.583,0.7390000000000001,0.898,1.7380000000000002
Pit_away,48590.0,143.49845647252522,23.451635352980873,62.0,128.0,141.0,156.0,341.0
Str_away,48590.0,89.82523152912121,13.605841893463515,37.0,81.0,89.0,97.0,213.0
WPA_away,48590.0,0.012140028812512854,0.3590902015578278,-2.091,-0.25,0.024,0.277,2.097
aLI_away,48590.0,1.0018913356657766,0.45090708932033124,0.03,0.65,0.94,1.32,2.74
WPA+_away,48590.0,0.6811946491047549,0.38701789030250894,0.0,0.433,0.596,0.8640000000000001,3.202
WPA-_away,48590.0,-0.6690666598065408,0.37640021520284783,-3.798,-0.883,-0.597,-0.391,-0.001
RE24_away,48590.0,0.22792961514714996,3.2635514409244064,-9.6,-2.2,-0.2,2.1,20.9
PO_away,48590.0,27.534081086643344,2.325474188791271,15.0,27.0,27.0,27.0,66.0
A_away,48590.0,10.210495986828565,3.2212935797924636,0.0,8.0,10.0,12.0,28.0
IP_player_away,48590.0,5.580232558140851,1.5608852041694106,0.0,5.0,6.0,7.0,10.0
H_player_away,48590.0,5.93636550730603,2.2801001240151297,0.0,4.0,6.0,7.0,15.0
R_player_away,48590.0,3.137826713315497,2.1318087009148377,0.0,1.0,3.0,5.0,13.0
ER_player_away,48590.0,2.8971187487137273,2.0536983154724147,0.0,1.0,3.0,4.0,13.0
BB_player_away,48590.0,1.9980037044659396,1.4229532200820916,0.0,1.0,2.0,3.0,10.0
SO_player_away,48590.0,4.254002881251286,2.448460677910989,0.0,2.0,4.0,6.0,17.0
HR_player_away,48590.0,0.7326404610002059,0.8592974274123922,0.0,0.0,1.0,1.0,6.0
ERA_player_away,48587.0,4.4166344907073904,2.5520371826408716,0.0,3.32,4.15,5.09,135.0
BF_player_away,48590.0,24.642951224531796,4.616986535706991,0.0,22.0,25.0,28.0,41.0
Pit_player_away,48579.0,93.16525659235472,17.047684900333312,1.0,85.0,96.0,104.0,150.0
Str_player_away,48579.0,58.59789209329134,11.888174481292165,0.0,53.0,60.0,66.0,102.0
Ctct_player_away,48575.0,34.61716932578487,7.832224531521125,0.0,30.0,35.0,40.0,65.0
StS_player_away,48579.0,7.936248173078902,4.092460250092982,0.0,5.0,7.0,10.0,34.0
StL_player_away,48579.0,16.044175466765473,4.711359032904504,0.0,13.0,16.0,19.0,36.0
GB_player_away,48579.0,8.208588073035674,3.3731074249653306,0.0,6.0,8.0,10.0,25.0
FB_player_away,48579.0,9.975503818522407,3.331570631238176,0.0,8.0,10.0,12.0,26.0
LD_player_away,48579.0,3.995471294180613,2.0751406332183047,0.0,2.0,4.0,5.0,14.0
Unk_player_away,48579.0,0.004611045925194014,0.10591691852133717,0.0,0.0,0.0,0.0,9.0
GSc_player_away,48581.0,48.813466169901815,17.11610488178385,-13.0,37.0,50.0,61.0,104.0
WPA_player_away,48576.0,-0.01678388504611331,0.24648442256180003,-0.887,-0.212,-0.014,0.17,0.883
aLI_player_away,48590.0,0.9764807573574966,0.2731341126658882,0.0,0.79,0.99,1.17,2.1
RE24_player_away,48590.0,-0.1989792138300042,2.5376566670360505,-11.2,-1.8,0.1,1.7,5.6
IP_player_home,48590.0,5.79706729779905,1.561237533953815,0.0,5.0,6.0,7.0,10.0
